recall_id,sum,mbits_to_chars,recall_text,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
mean,149.89,0.1,,7.05,10.89,2.74,-0.17,0.32,4.66,9.88,1.06,-2.46,0.98,0.29,6.6,2.89,3.18,5.4,0.26,-3.61,2.14,9.19,-0.89,0.04,-1.79,2.09,2.46,0.77,-0.8,1.49,-0.52,9.07,2.21,-0.09,-0.08,1.31,1.61,0.01,-0.38,-4.62,-1.54,-0.26,1.04,2.33,0.09,2.85,0.31,-1.49,1.15,-1.73,4.3,0.27,2.07,-1.24,4.03,0.85,-1.1,-0.53,1.52,7.23,1.43,0.41,0.09,0.27,0.06,0.11,-0.18,0.57,0.12,-0.43,0.53,2.19,0.89,-0.45,1.98,0.86,-0.19,-0.27,5.18,2.8,1.73,-0.44,-0.53,2.09,-1.17,1.86,1.77,-0.82,1.3,0.62,0.75,0.28,0.01,-0.0,-0.87,-0.55,0.91,3.04,-0.18,0.39,-0.49,0.3,0.22,0.43,-1.44,-0.46,0.5,0.14,1.55,1.04,0.51,-0.63,-0.01,0.08,3.21,3.91,3.56,-0.6,2.77,-0.79,5.61,3.84,4.3,0.13,2.77
9,66.87,0.07,"In 1949, four friends, who knew each other from different high schools, grew close when they all attended the same college. The narrator, a country boy, often hosted the city-living friends at his farm where they bonded over chores and hunting, although the narrator wasn't keen on hunting. After some years, the friends decided to go on a bear hunting trip in Canada, which the narrator reluctantly joined. They struggled with fear and hesitance once they reached the remote and intimidating woods. To settle who would actually hunt the bear, they drew cards, and, ironically, the narrator, who least wanted to hunt, drew the high card. While out hunting, he encountered a massive bear but panicked as his gun was unloaded. He ran back to the cabin with the bear chasing him. Craftily, he led the bear into the cabin and trapped it inside, leaving his friends to deal with it. Despite fulfilling his role, his friends never invited him on another hunting trip.",7.42,6.69,2.33,-0.61,-0.79,5.94,-1.06,0.06,-2.84,0.36,0.08,5.21,3.32,3.21,5.57,0.07,0.39,0.5,9.84,-2.78,-0.44,-2.59,0.52,1.98,0.78,-2.03,1.02,0.85,7.88,1.39,0.24,-0.37,1.65,0.97,1.0,-0.32,-5.79,-2.08,-0.29,-3.95,1.69,0.14,1.04,-0.89,-0.9,-0.73,-1.79,1.85,0.21,4.03,-1.44,2.6,-0.28,-1.21,-0.99,2.71,4.2,-1.98,-2.62,0.03,-0.14,0.35,-0.33,-0.84,-1.32,0.29,-0.67,-0.17,1.82,-1.86,-4.76,-0.96,0.74,-1.19,-0.55,5.07,2.08,3.39,-1.09,-0.32,2.09,-1.81,1.0,2.8,-0.45,1.05,0.87,0.66,0.12,-0.36,-0.2,-1.11,-0.18,0.74,2.83,-1.08,-0.25,-0.52,0.09,0.27,0.0,-1.02,-0.29,0.86,0.07,0.81,-2.9,0.09,-0.16,-0.31,-0.78,3.45,4.16,1.8,-0.08,1.58,-1.61,0.03,-0.94,3.67,1.93,1.41
17,83.81,0.07,"In 1949, the narrator, who grew up on a farm, formed a close friendship with three city friends when they all attended the same college. Despite their different backgrounds, the group bonded over activities like hunting, which the narrator didn't particularly enjoy but went along with to be part of the group. Years later, the friends decided to go bear hunting in Canada, a trip the narrator was hesitant about but joined nonetheless. After traveling deep into the Canadian wilderness to a rented cabin, none of them were eager to actually hunt due to the foreboding nature of the surroundings. They sat idle for several days, avoiding outdoor excursions, until realizing they needed to return with a bear to avoid ridicule from friends. They decided to draw cards to see who would go hunting, and the narrator, who was the least interested in the adventure, was chosen. While reluctantly out in the woods, an encounter with a massive bear led to a chase back to the cabin. In a comedic turn, the narrator managed to lead the bear into the cabin and shut the door. This successful, albeit unconventional, method of presenting the bear to his friends marked the end of his hunting adventures, as they never invited him to another hunt thereafter.",5.22,9.56,2.4,-3.21,2.27,5.45,-2.72,-1.11,-0.95,0.48,-0.19,4.5,1.54,3.72,-1.1,0.2,-4.48,2.93,9.86,-0.37,-0.5,-1.26,5.32,2.59,0.08,-0.95,1.2,-1.06,8.63,1.55,0.63,-0.3,0.69,1.12,-0.64,-0.9,-4.04,-1.35,-0.52,-3.06,1.55,-0.7,-1.56,-0.02,-2.8,-0.76,-1.81,4.83,0.2,3.09,-1.15,3.86,0.74,-1.15,-0.41,0.48,9.11,2.72,-1.24,-0.24,0.3,0.06,0.03,0.75,-0.52,-0.12,-0.68,0.83,1.45,1.39,0.52,2.39,1.23,0.0,-0.99,5.22,0.18,0.06,0.25,-0.72,2.37,-1.44,0.45,1.78,0.54,0.9,1.65,0.65,0.33,-0.13,0.36,-0.83,-0.64,-0.09,-1.1,0.31,0.36,-0.57,0.3,0.24,0.58,-0.64,-0.49,0.57,-0.05,1.81,-1.2,0.3,-0.1,-0.25,-0.74,1.54,3.64,3.99,-0.27,1.22,-0.52,-0.13,-1.42,1.45,-1.4,2.88
19,101.83,0.08,"The story revolves around a group of four friends who became close after starting college together in 1949, having previously known each other as high school athletes from different schools. The narrator, a farm kid, often hosted the other three, city-dwellers, for hunting trips at his farm, despite not particularly enjoying hunting himself. After years of these outings, one friend suggested a bear hunting trip in Canada, which the narrator reluctantly joined. The group flew to Canada, traveled deep into the woods to a rented cabin, and quickly realized that no one really wanted to hunt bears due to the intimidating environment. After days of hesitation, they decided on drawing cards to see who would go hunting; as fate would have it, the narrator drew the highest card. Unenthusiastically, he set out alone, unprepared and without having loaded his gun. When he encountered a massive bear, he could only flee back to the cabin with the bear chasing him. In a frantic sprint, he managed to trick the bear into the cabin while he shut the door, leaving the bear for his friends to deal with. This adventurous and comical encounter turned out to be a one-time event, as his friends never invited him to hunt again in the thirty years that followed.",8.02,10.36,4.02,0.85,1.95,3.49,13.95,1.0,-3.32,0.14,0.38,7.47,3.53,2.6,4.58,0.64,-6.91,0.11,9.9,-1.2,0.44,-1.18,-1.28,2.79,1.64,-0.43,1.64,-0.27,10.34,1.32,-0.55,-0.02,1.59,1.07,-0.54,-0.51,-5.21,-2.15,-0.27,0.81,1.88,-1.87,-1.35,-0.23,-1.8,-0.16,-2.18,4.62,0.96,1.5,-0.47,1.62,0.78,-1.11,-0.04,2.71,4.95,1.55,-3.03,-0.11,0.27,0.91,0.27,-0.98,-1.77,0.37,-0.55,-0.21,2.3,-1.02,-3.9,-0.32,-0.01,-0.36,-0.27,4.46,1.57,1.49,-1.23,-0.53,0.61,-0.83,1.54,1.5,-0.45,0.7,0.33,0.21,0.14,-0.11,0.02,-2.33,-1.09,0.33,3.04,-0.5,0.75,-0.84,0.55,0.48,0.7,-0.42,-0.37,0.3,-0.12,1.0,-1.97,0.71,-0.22,-0.83,-0.55,3.2,4.06,3.3,-0.5,1.82,-1.68,-0.08,4.91,1.61,-0.39,3.8
12,120.61,0.09,"The story is about the narrator and three friends, who became close during their college years after initially meeting as high school athletes from different schools. The narrator, a farm kid, enjoyed outdoor activities with his city-dwelling friends, such as hunting on the farm. Though the narrator wasn’t particularly fond of hunting, he joined his friends to be part of the group. The friends eventually decided to go bear hunting in Canada. Despite his lack of enthusiasm, the narrator was talked into joining the trip. Upon reaching the remote cabin in the Canadian woods, none of them were eager to face the unfamiliar and intimidating wilderness. Eventually, they realized they needed to return with a bear to avoid ridicule from their acquaintances. They decided to draw cards to choose who would hunt the bear. Unsurprisingly, the narrator drew the high card, obliging him to hunt despite his reluctance. As he ventured into the woods, the narrator encountered a massive bear but realized he hadn't loaded his gun. With no other option, he ran back to the cabin, pursued by the bear. As he dashed in, he led the bear inside, shut the door, and jokingly told his friends they could handle the bear Although this event happened three decades ago, and the narrator upheld his end of the deal, the friends found the experience comical and never invited him hunting again.",8.37,-1.03,0.5,1.1,1.76,2.47,13.08,0.82,-3.76,-0.28,0.21,7.52,2.65,1.94,4.85,0.04,-3.59,1.73,9.72,0.79,-1.89,-1.5,7.05,2.86,0.73,-1.96,1.65,0.07,9.25,0.88,0.25,0.36,2.06,2.63,-1.03,-0.29,-5.53,-2.12,0.17,-3.8,1.29,0.68,-0.56,-0.39,-3.42,-0.86,-2.08,4.22,0.52,2.35,-1.65,2.21,0.23,-1.27,-0.28,4.27,8.4,-1.43,-2.38,-0.04,0.07,0.18,-0.64,-0.39,-1.84,0.16,-0.61,1.09,3.25,1.67,-0.09,3.42,1.22,0.45,-0.73,4.56,2.68,2.4,-0.64,-0.29,0.48,1.09,1.28,1.0,-1.25,1.39,0.58,0.95,0.3,0.28,-0.44,0.22,-0.83,1.13,3.18,-1.53,0.74,-0.49,1.45,0.69,0.16,-0.77,-0.21,0.45,-0.09,1.08,-1.12,0.16,-0.6,0.02,-1.31,1.56,1.94,3.58,-0.58,2.76,-1.07,0.61,7.98,8.93,-0.16,2.61
10,131.48,0.09,"The story follows the narrator and his three friends, whom he met in college in 1949, although they knew of each other from high school sports at different schools. They became close friends when they all enrolled at the same college. The narrator, a farm kid, often hosted his city-dwelling friends at his farm for hunting trips, even though he wasn't particularly enthusiastic about hunting. Despite his lack of interest, he joined them. Later, one of the friends proposed a bear hunting trip to Canada. Although the idea didn’t appeal to the narrator, he agreed to join due to peer pressure. They traveled by plane and canoe into the isolated northern woods, staying at a rented cabin. Once there, none of them felt eager to hunt given the intimidating wilderness. After several days of avoiding hunting, they decided to draw cards to choose who would go out and find a bear. The narrator, who was the least interested in hunting, drew the high card and was thus tasked with the hunt. Reluctantly, the narrator ventured into the woods but forgot to load his gun. He encountered a huge bear, which began chasing him. In a panic, he ran back to the cabin with the bear on his heels, shouting for his friends to open the door. He managed to lead the bear inside the cabin, slammed the door closed, and jokingly told his friends they could skin the bear while he went to find another one. The ordeal ended their hunting trips; his friends never asked him to join another hunt after that day.",7.2,14.38,2.54,-1.09,-2.26,6.76,10.07,1.11,-0.14,1.55,0.5,7.61,2.76,2.31,5.16,-0.19,-7.08,-0.3,8.71,-1.6,-0.46,-2.23,1.82,2.64,1.27,-0.74,1.72,-1.71,10.62,5.25,0.05,0.88,1.03,2.21,-0.4,-0.42,-4.71,-1.76,-0.2,1.68,2.09,0.68,2.85,0.76,0.22,-1.73,-4.7,3.22,0.82,1.07,-1.22,1.96,0.99,-0.96,-0.18,0.89,8.07,2.01,-1.95,-0.06,0.2,-0.05,0.8,-0.04,-1.2,0.43,-0.33,-0.45,3.37,-0.66,-0.96,-0.64,0.15,-0.17,0.13,5.39,3.17,4.72,-0.38,-0.35,2.46,-1.88,1.84,0.87,-1.8,0.55,0.45,-0.27,0.15,0.03,-0.22,-1.83,-0.25,0.93,3.68,0.19,0.07,-0.61,0.13,0.01,0.51,-1.16,-0.34,0.74,0.5,1.94,3.53,1.12,-0.58,-0.11,-1.19,0.91,2.47,2.69,-1.22,2.44,0.18,11.18,-2.35,0.94,-1.67,3.95
2,132.04,0.1,"The narrator recounts a tale from 1949 about their college friends, all of whom were acquaintances from different high schools due to athletics and became close after attending the same college. The narrator, who grew up on a farm, often hosted these city friends for hunting trips, although they personally weren't fond of hunting. The group decided to try bear hunting in Canada, and despite the narrator's reluctance, they joined in. Traveling by airplane, canoe, and on foot, the group reached a remote cabin in the Canadian wilderness. Once there, everyone was too uneasy to actually hunt bears due to the spooky environment. After a few days of playing cards and relaxing, the friends realized they needed to return home with a bear to avoid ridicule. To decide who would hunt, they drew cards, and the narrator, the least enthusiastic member, drew the high card. Reluctantly, the narrator set out alone with an unloaded gun, only to encounter an enormous bear. In a panic, the narrator fled back to the cabin, which led to a comedic moment when the bear chased them all the way to the door. The narrator managed to trick the bear into entering the cabin, slamming the door shut and leaving it inside with the friends. Despite the harrowing adventure, the friends never invited the narrator hunting again, considering that they had technically fulfilled their hunting commitment.",5.28,9.83,2.96,0.01,1.05,3.56,7.73,2.14,-3.01,-0.37,0.26,6.45,1.1,2.93,5.52,-0.63,-6.09,-0.59,10.01,-0.75,-0.5,-2.83,0.43,1.68,0.39,-0.74,1.65,-1.02,8.23,1.12,0.33,-0.01,1.15,1.91,0.11,-0.34,-4.16,-1.25,-0.19,3.54,2.27,1.17,3.04,0.4,-2.66,2.24,-1.97,4.05,-0.02,3.25,-1.55,5.86,1.13,-1.06,-0.44,2.5,6.09,2.68,3.42,0.34,0.5,-0.51,0.59,0.03,-0.54,0.36,0.62,1.02,1.39,0.59,3.04,2.58,1.1,0.47,-0.48,4.61,3.76,0.89,0.3,-1.06,3.19,-0.13,2.59,1.15,-0.17,0.26,0.23,0.7,0.39,0.47,0.95,-2.33,-1.24,0.52,2.36,-0.27,0.23,-0.47,-0.23,0.43,-0.21,-0.57,-0.22,0.07,0.11,1.85,-0.85,1.03,-0.04,0.15,0.1,2.37,4.04,3.72,-1.06,0.39,-0.6,0.29,-1.66,6.18,-2.3,3.73
16,146.51,0.09,"The story is about the narrator and three friends who all became close when they ended up attending the same college after having known each other as athletes from different high schools. Although the narrator was from the countryside and the others were city dwellers, they bonded over trips to the narrator's farm, where they helped with chores and went hunting. Despite not enjoying hunting, the narrator participated to remain part of the group. After some years, the friends decided to go on a bear hunting trip in Canada, a prospect the narrator wasn't keen on. Nevertheless, he accompanied them on this adventure. The trip involved flying to Canada, paddling canoes, and hiking deep into the woods to reach a rented cabin. Once there, the eerie environment deterred everyone from pursuing their bear hunting goal, and they spent their time inside playing cards and avoiding nighttime excursions. Realizing they needed a bear to bring back to avoid ridicule from their peers, they decided to draw cards to see who would venture out for a hunt. The narrator drew the high card, obliging him to go despite his reluctance. While out, a bear unexpectedly appeared, but when the narrator attempted to shoot, he realized he hadn’t loaded his gun. With the bear chasing him, the narrator ran back to the cabin, where his friends let him in just in time. As the bear continued through the open door, the narrator shut it behind the bear, effectively trapping it inside for his friends to deal with. Reflecting on the incident thirty years later, the narrator humorously notes that despite fulfilling his hunting obligations, his friends never invited him on another hunting trip.",6.51,-4.06,2.27,0.37,1.99,4.21,10.98,1.2,-2.86,2.33,-0.36,5.26,2.91,3.48,4.79,1.3,2.4,1.61,10.52,-1.57,-0.77,-1.35,6.71,2.99,1.4,-1.74,1.09,0.18,8.27,3.24,0.15,-0.37,0.87,1.86,-0.98,-0.35,-4.88,-1.3,-0.43,2.55,1.64,0.09,4.33,-0.24,-2.57,1.82,-2.42,4.52,0.04,2.17,-1.06,5.49,0.94,-1.01,-0.69,2.41,6.67,-0.61,2.63,0.17,0.38,-0.42,0.72,0.53,5.2,-0.24,-0.11,1.55,2.92,0.93,2.23,3.01,0.78,-0.11,-0.17,5.68,2.83,1.1,-0.82,-0.75,0.64,-0.63,1.44,1.78,-0.47,1.02,0.07,1.24,0.53,-1.15,-1.2,0.87,0.35,1.12,3.02,0.33,-0.07,-0.39,-0.11,-0.07,-0.17,-1.79,-0.75,0.08,0.3,1.35,0.49,-0.14,-1.48,0.48,-0.65,0.25,3.37,4.92,-0.73,1.05,-1.19,-1.39,6.84,4.72,0.75,1.9
8,151.02,0.1,"The story revolves around the narrator and three friends who became close during college in 1949. They initially met as high school athletes from different schools and reconnected when they all attended the same college. While the narrator hailed from a farm background, the others were city dwellers who loved visiting his farm to hunt and help with chores. Despite not sharing their enthusiasm for hunting, the narrator joined his friends on a bear hunting trip to Canada. They flew to a remote lake, paddled by canoe, and trekked through the woods to reach a rented cabin. Once there, they discovered none of them had the courage to hunt bears in the intimidating wilderness. Their reluctance persisted for days, and they resorted to playing cards and staying indoors. Concerned about returning home empty-handed and facing mockery, they decided to draw cards to determine who would go hunting. the narrator, who least wanted to hunt, drew the high card. Armed with an unloaded gun, he ventured out reluctantly and encountered an enormous bear. In a panic, he ran back to the cabin with the bear in pursuit. As he reached the door, his friends opened it just in time for him to dodge aside, letting the bear charge into the cabin. He humorously declared the bear for his friends to handle and suggested he’d find another, This escapade concluded thirty years ago, with the narrator noting that his friends never invited him to hunt again, despite his apparent success at fulfilling the group's hunting goal.",7.31,11.9,1.76,1.94,0.62,5.25,12.82,0.61,-1.55,1.04,0.34,7.19,2.91,2.53,7.76,0.72,3.67,-2.47,8.65,-1.86,-0.96,-3.12,1.68,0.86,-0.21,-1.52,1.15,-0.48,7.87,0.1,0.69,-0.86,1.54,0.85,0.11,-0.56,-4.03,-1.6,-0.27,0.64,3.41,2.52,3.67,-1.14,-3.12,1.89,-2.83,4.86,-0.1,1.99,-1.32,1.35,1.58,-0.81,-0.2,1.32,5.62,1.74,1.82,-0.29,0.19,1.07,-0.38,-1.37,-0.63,-0.32,-0.96,0.61,3.33,1.17,-1.3,2.7,0.82,0.13,-0.44,5.12,2.86,0.71,-0.42,-0.15,3.01,-2.68,2.88,1.27,-1.0,0.15,0.57,0.96,0.45,-0.16,0.31,-2.22,-1.46,0.29,1.84,0.3,0.72,-0.58,-0.26,0.45,0.18,-1.11,-0.61,0.71,0.16,1.11,0.63,0.88,-1.13,0.09,1.89,5.08,5.46,2.15,-0.24,3.97,-1.71,7.97,7.57,2.0,0.35,3.06
3,152.47,0.09,"The story is a reminiscence about the narrator and three friends who met in 1949 when they all started attending the same college. Although they became friends in college, they had known of each other from high school as athletes. The narrator describes how the friends, who lived in the city, enjoyed visiting his farm, where they would hunt rabbits and squirrels, an activity that captivated them more than it did the narrator, who wasn't a fan of hunting. An adventurous proposal led the group to plan a bear hunting trip in Canada, despite the narrator's lack of enthusiasm for hunting, especially bears. Yielding to peer pressure, he joined them on a journey that involved flying, paddling canoes, and backpacking through the wilderness to a remote cabin. However, the daunting atmosphere of the woods dampened everyone's spirit for the hunt, resulting in several days spent indoors playing cards and avoiding night outings. Faced with the prospect of returning home empty-handed and enduring the ridicule of friends and family, they decided to draw cards to see who would venture out for the hunt. Ironically, the reluctant narrator drew the high card, obliging him to go bear hunting. While out in the woods, he encountered an enormous bear, but in his nervousness, he realized he had forgotten to load his gun. As the bear charged, he sprinted back to the cabin with the bear close behind. Shouting for his friends to open the door, he managed to lead the bear inside and slam the door shut, telling his friends they could handle the bear as he ""went to get another."" The story concludes with the narrator humorously noting that his friends never invited him to go hunting again, feeling that he had fulfilled his hunting duties quite well.",5.9,13.72,3.32,-1.74,-0.9,4.77,10.39,0.96,-3.07,0.6,0.32,5.29,4.4,0.97,5.9,0.13,-5.39,6.69,8.93,-1.78,1.01,-0.75,-0.11,2.4,0.54,0.14,1.7,0.7,8.55,2.16,-1.53,-0.44,2.64,1.52,1.82,-0.42,-5.63,-1.58,-0.11,0.91,2.59,0.3,4.16,0.92,-3.06,3.13,1.58,4.14,0.19,2.16,-1.29,2.67,1.3,-1.06,-1.0,0.51,6.84,2.62,3.14,0.2,0.41,0.12,0.66,-0.38,5.02,-0.23,-0.17,0.55,0.22,2.42,-3.77,2.73,0.19,0.44,0.24,5.46,3.11,-0.15,-0.36,-0.41,1.84,-2.22,1.53,3.12,-0.87,1.71,0.41,1.25,0.33,0.29,0.05,-0.92,-1.14,1.18,3.76,0.23,-0.09,-0.59,-0.37,-0.15,0.21,-2.05,-0.63,0.59,0.3,1.63,3.22,0.48,-0.8,0.67,-0.69,1.54,3.64,3.73,-1.07,2.78,-2.0,8.83,-0.78,3.07,-2.48,3.86
13,159.28,0.1,"The story is about a narrator and three friends who became close while attending the same college in 1949. Initially, they met as high school athletes from different schools, but their friendship grew stronger as they spent time together, often visiting the narrator's farm for hunting adventures, despite the narrator's lack of passion for hunting. Years later, one of the friends suggested a bear hunting trip in Canada. Although the narrator was reluctant, he agreed to go because he didn't want to disappoint his friends. They flew to Canada, rented canoes, and made a long journey through the wilderness to reach a remote cabin. However, upon arrival, the intimidating atmosphere of the forest made them all hesitant to actually hunt bears. After several days of procrastinating, they realized they needed to bring back a bear to avoid teasing from others about returning empty-handed. They decided to draw cards to see who would go out to hunt, and ironically, the narrator, who was least interested, drew the high card. Feeling obligated, the narrator ventured out with a gun, only to encounter a massive bear. Realizing he had forgotten to load the gun, he ran for his life towards the cabin with the bear in pursuit. In a desperate move, he reached the cabin, yelled for the door to be opened, and quickly sidestepped, allowing the bear to enter while he closed the door behind it, leaving the bear inside with his friends. The narrator humorously declared that he fulfilled his commitment and offered to get another bear. Despite proving himself, his friends never invited him on another hunting trip in the thirty years since the incident.",7.33,12.24,1.79,1.8,1.26,5.01,13.78,0.19,-3.09,-0.35,-0.52,3.11,-0.35,4.26,6.43,0.33,-5.19,0.56,9.29,-1.97,-0.06,-1.19,1.26,3.52,-0.03,-0.75,1.32,-2.69,9.91,1.57,-1.33,-0.41,1.13,1.94,0.03,-0.27,-5.94,-1.47,-0.59,1.17,2.39,-0.41,5.77,-0.1,-2.22,0.28,-1.97,4.21,1.07,2.67,-0.56,3.49,0.96,-1.53,-0.57,0.44,5.4,2.68,-1.8,0.17,0.21,0.32,-0.67,-0.57,-1.92,0.02,-0.47,0.59,1.98,1.51,0.47,3.84,1.56,0.37,-0.55,5.57,3.05,0.8,-0.46,-0.29,3.45,-0.69,1.87,2.35,-0.76,1.28,0.35,1.26,0.29,0.1,0.25,0.3,-0.52,1.13,3.98,-1.08,0.02,-0.23,0.04,0.08,0.95,-1.49,-0.62,0.57,-0.02,1.92,3.77,0.64,-1.17,-0.32,2.82,5.45,4.93,4.59,-0.73,1.46,-0.81,8.27,5.57,8.03,1.01,2.23
