segment_id,segment_text,real_rec,real_caught,emulated_rec,emulated_caught,rec_difference,caught_difference
1,Let me share a story from when I was twenty-one years old.,62,66,20,200,-42,134
2,I was living in a small apartment near the city center.,55,65,16,160,-39,95
3,I had just started my first job.,49,56,16,60,-33,4
4,And uh I was working as a graphic designer.,37,55,18,190,-19,135
5,"My father, who was recovering from a surgery, hadn't been out in – in uh – well I'd say about eight months.",68,94,15,200,-53,106
6,He had to use a wheelchair to get around.,45,63,18,200,-27,137
7,"The only person there with him during the day was a kind neighbor, a lady in her sixties.",66,85,14,150,-52,65
8,My younger sister was away at college –,40,48,9,30,-31,-18
9,so it was just my dad and the neighbor lady at home during the day.,18,68,16,120,-2,52
10,"One day, I got this strong feeling while I was at work.",75,93,16,190,-59,97
11,"It told me: ""If you go to the nearby park during your lunch break and pray for your father's recovery, he'll start to improve.""",69,85,15,190,-54,105
12,I looked around my office.,16,41,10,20,-6,-21
13,I didn't see anyone nearby.,27,37,8,10,-19,-27
14,"So, I went to the park during my break",78,92,14,200,-64,108
15,and found a quiet spot there.,21,41,11,110,-10,69
16,That feeling came back again.,24,30,7,10,-17,-20
17,I looked around once more.,11,25,7,0,-4,-25
18,I still didn't see anyone nearby,13,29,5,0,-8,-29
19,but I decided to take a chance.,2,21,4,40,2,19
20,"I wasn't too far from my office, maybe a ten-minute walk.",24,26,2,50,-22,24
21,I found a bench to sit on and closed my eyes – uh – uh –,6,63,2,90,-4,27
22,that feeling came back once more.,10,23,1,0,-9,-23
23,I just took a deep breath.,2,5,1,0,-1,-5
24,I was sitting under a big oak tree now.,48,52,4,150,-44,98
25,I looked up at the branches above me.,9,16,0,0,-9,-16
26,Nobody was around.,7,27,0,0,-7,-27
27,"And uh I said to myself, well now,",0,4,0,0,0,-4
28,I had been taught that prayers can make a difference.,15,45,0,70,-15,25
29,And that it doesn't hurt to try.,9,44,0,60,-9,16
30,"I knew I wasn't perfect, but I wanted to help my dad.",8,30,0,60,-8,30
31,I'd admit that to anyone.,2,7,0,0,-2,-7
32,But I was willing to give it a try.,8,28,0,50,-8,22
33,I looked around one more time,1,18,0,0,-1,-18
34,and then I closed my eyes,9,24,0,10,-9,-14
35,and said a quiet prayer.,53,74,0,140,-53,66
36,"I whispered, ""God, I don't know if you're listening.",11,33,0,20,-11,-13
37,But I ask you to please help my father recover.,37,71,2,130,-35,59
38,"So he can regain his independence and enjoy life again.""",15,51,1,90,-14,39
39,I opened my eyes,3,5,0,30,-3,25
40,and went back to work.,19,37,1,10,-18,-27
41,"Suddenly, I received a text message from my father.",80,87,12,200,-68,113
42,"It said, ""I just took a few steps with my walker.""",83,92,11,200,-72,108
43,I – I couldn't believe it.,10,26,0,30,-10,4
44,It felt like a sign that my prayer had been heard.,17,29,1,30,-16,1
45,I rushed home after work,23,43,1,10,-22,-33
46,and saw my father standing in the living room with the help of his walker.,45,63,0,50,-45,-13
47,He hadn't been able to do that in months without assistance.,10,44,2,50,-8,6
48,"And there he was, taking small steps.",10,25,1,10,-9,-15
49,That was the turning point in his recovery.,12,34,10,190,-2,156
50,He continued to improve,42,58,9,120,-33,62
51,and regained most of his mobility within a year.,19,52,11,200,-8,148
52,"It's been, what, six or seven years since then?",35,58,3,140,-32,82
53,My father is now able to walk without any assistance.,61,80,12,200,-49,120
54,"He's living life to the fullest, even in his seventies.",52,41,11,180,-41,139
