segment_id,segment_text,real_rec,real_caught,emulated_rec,emulated_caught,rec_difference,caught_difference
1,"Let me share a story from when I was twenty-two years old, just fresh out of college.",78,81,10,100,-68,19
2,I was staying in a small town about five miles from here.,13,14,8,40,-5,26
3,I had just started my first job at a local bookstore.,92,92,10,100,-82,8
4,"It was a quiet afternoon, and I was alone in the store.",5,30,4,40,-1,10
5,"My grandpa, who had been bedridden for almost a year, was at home with my sister.",77,91,10,100,-67,9
6,"She had to care for him daily, as he couldn't move around on his own.",31,81,7,60,-24,-21
7,"There were only two of us siblings, my sister and me.",32,57,4,20,-28,-37
8,My parents had gone out of town for the weekend.,40,41,9,50,-31,9
9,"As I was shelving books, I suddenly heard a voice inside my head.",74,96,10,100,-64,4
10,"It said, ""If you go to the old church down the street and light a candle for your grandpa, he will get better.""",87,93,8,100,-79,7
11,"I looked around the bookstore, but no one was there.",27,39,3,20,-24,-19
12,"I continued with my work, trying to ignore the voice.",21,33,5,20,-16,-13
13,"It spoke to me again, repeating the same message.",33,83,4,80,-29,-3
14,"I looked around once more, but still found no one.",5,26,4,10,-1,-16
15,I decided to take a break and walk to the church.,50,94,5,100,-45,6
16,"I was only a short distance away, maybe a quarter-mile.",16,31,4,10,-12,-21
17,"As I approached the church, I hesitated for a moment.",7,37,4,60,-3,23
18,I was not a particularly religious person.,46,58,7,100,-39,42
19,I remembered my grandma always saying that prayers from a sincere heart could bring miracles.,31,59,5,30,-26,-29
20,"On the other hand, she also said that prayers without faith were useless.",24,51,3,20,-21,-31
21,I admitted to myself that I was far from being a saint.,8,20,1,30,-7,10
22,I had my share of mistakes and misdeeds.,5,17,0,20,-5,3
23,I thought about my grandpa and how much he meant to our family.,3,11,0,40,-3,29
24,"Finally, I went inside the church and found a candle.",27,86,1,80,-26,-6
25,I knelt down in front of the altar.,12,68,0,80,-12,12
26,"I said, ""God, I don't know how to pray properly.",17,47,0,30,-17,-17
27,But I am asking you with all my heart to heal my grandpa.,33,84,4,90,-29,6
28,"Please help him regain his strength and guide us in taking care of him.""",17,76,1,80,-16,4
29,"After saying my prayer, I returned to the bookstore.",34,65,1,100,-33,35
30,"I resumed my work, shelving books.",14,34,1,50,-13,16
31,"Suddenly, I felt a strong urge to go home.",58,77,4,100,-54,23
32,It was as if something was pulling me towards the house.,16,37,0,40,-16,3
33,I didn't hear any voice this time.,7,38,0,30,-7,-8
34,It was just an overwhelming feeling that I needed to go.,25,41,2,70,-23,29
35,I locked up the store and rushed home.,23,59,0,30,-23,-29
36,"To my surprise, I found my grandpa sitting in the living room, talking to my sister.",86,98,4,100,-82,2
37,He hadn't been able to leave his bed for months without assistance.,37,84,0,80,-37,-4
38,My sister told me that he had suddenly felt a surge of energy and was able to stand up and walk.,49,75,5,80,-44,5
39,That day marked the beginning of his recovery.,30,64,4,90,-26,26
40,He gradually regained his strength and independence.,26,60,3,80,-23,20
41,It was a turning point in our lives.,4,31,0,50,-4,19
42,We became more grateful for the time we had together.,7,16,0,10,-7,-6
43,I often thought back to that day in the church.,6,27,0,50,-6,23
44,I wondered if my prayer had anything to do with my grandpa's recovery.,26,48,0,40,-26,-8
45,"I couldn't be sure, but it definitely changed my perspective on faith and the power of prayer.",19,51,1,100,-18,49
46,My grandpa lived for many more years after that incident.,67,78,3,70,-64,-8
47,He celebrated his ninetieth birthday surrounded by family and friends.,30,76,2,80,-28,4
48,We cherished every moment we had with him.,9,25,1,20,-8,-5
49,That experience happened almost twenty years ago.,31,45,2,80,-29,35
50,It remains a vivid memory in my mind.,8,21,1,50,-7,29
51,"My grandpa passed away a few years later, but his spirit lives on in our hearts.",29,41,3,70,-26,29
52,"Sometimes, when I'm feeling lost or uncertain, I think back to that day.",4,18,0,50,-4,32
53,I remember the power of faith and the miracles it can bring.,24,44,3,100,-21,56
54,"And I am reminded that we are never truly alone, even when it seems like we are.",17,11,3,40,-14,29
