recall_id,sum,mbits_to_chars,recall_text,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
mean,79.77,0.26,,16.65,11.72,0.56,0.04,11.14,2.81,0.33,5.26,3.04,1.59,1.54,0.65,-0.54,0.81,1.67,1.51,1.87,19.14
599dacb43c7d1a0001deef97,22.19,0.28,a girls friend pushed her into a pool at a wedding reception in a fancy hotel.,13.46,11.78,-0.32,-2.25,-0.35,5.06,-1.53,-1.82,1.47,-1.13,0.63,-0.45,-2.5,0.04,1.7,-1.91,1.06,-0.75
5eb3138319f0500f2004d2e9,29.37,0.23,The cousin pushed her into the pond at a wedding to get her away from a bee she narrowly missed the cake and her dress was ruined,2.28,8.23,-2.95,1.74,11.75,-1.48,-0.5,-4.68,1.38,-2.56,1.0,0.93,-2.2,-0.29,2.17,4.04,-0.12,10.63
603f6ea3c439b514c173633d,30.56,0.15,A girl was going to a wedding where she met her cousin and the cousin said something or spilled champagne over him and he needed to dry out and he said something to her at the end a few more inches left.,-0.88,7.05,-1.22,0.59,-0.61,2.52,-0.81,4.96,1.49,-2.27,1.0,0.78,-1.04,0.29,3.19,-1.77,4.45,12.84
5ea1bd7e16a0c70919660653,34.55,0.26,During a wedding a lady was pushed into a swimming pool by her aunt as a bee was close to her. She nearly fell on the wedding cake.,5.29,6.64,-3.09,2.44,11.02,0.55,-0.49,-2.01,1.25,-2.16,1.1,-0.54,-0.97,-1.2,2.35,-0.38,0.61,14.14
5e25ca0e637b4103e19e7168,36.91,0.2,The person was at their cousins wedding and got pushed into the pool. The friend spotted a bee by their mouth so tried to push the person away from it but pushed them into the pool instead.,15.55,10.25,-1.15,3.42,15.4,-1.69,-0.78,-2.51,1.14,0.5,-0.03,-1.09,-3.44,0.62,1.26,-1.92,-0.38,1.76
62b6cb277460cccbc8f27ad5,42.97,0.14,"SHE WAS AT HER BEST FRIENDS WEDDING WHEN HER COUSIN TRIED TO SWIPE AWAY A BEE WHEN SHE ACCIDENTLY PUSHED HER IN TO THE POND, SHE WAS HOLDING A GLASS OF CHAMPAGNE HER AUNT HAD GIVEN HER, HER COUSIN JUST LAUGHED ONCE SHE GOT OUT AND DRY, SHE APOLOGISED AND SAID GOOD JOB YOU DIDNT FALL INTO THE CAKE",1.21,5.78,-0.57,0.62,7.56,2.37,-2.91,12.01,3.75,-0.97,-0.98,0.51,-0.5,2.54,1.77,-3.44,1.71,12.51
5a7c5a98eea3d300016e1d1e,44.06,0.3,girl was pushed into the pool at her cousins wedding by her best friend because there was a bee next to her. she apologised but the dress was ruined.,17.16,9.78,-0.78,4.05,10.99,-0.55,-1.17,-2.54,1.89,0.48,0.17,-0.09,-1.24,-0.81,3.97,4.9,-1.08,-1.07
5c714e3c21beb1000181bc74,45.8,0.26,My best friend pushed me into the pool this was at my cousin wedding Reception where my aunt nearly got stung by a bee my dress was ruined and my friend apologised profusely,23.46,18.44,-7.96,-5.8,6.18,2.29,-0.21,0.52,3.47,-1.07,-0.6,0.25,-1.48,-0.95,4.19,3.89,-0.68,1.86
600dbc400c8bdf5900aa0cd5,46.08,0.27,"I got pushed into a river at my cousin's wedding, by my best friend who was trying to save me from a bee, I was handed a glass of champagne, we were all dressed to impress.",12.31,12.27,4.53,3.01,10.72,-0.38,-0.28,8.13,-1.3,0.02,0.12,-0.12,-2.39,0.72,1.14,-2.54,0.71,-0.59
6070a06a1d49fbecb9ee79d2,48.68,0.18,"Someone was at a wedding. She was standing outside in the garden, holding a glass of wine when she was pushed into a water fountain. Her friend spotted a bee close by and pushed her into the water to save her. Her dress was ruined and she very nearly fell on the wedding cake.",7.47,8.73,-1.64,-0.17,13.48,3.3,0.23,-0.67,0.29,-0.59,0.52,0.23,-2.75,-0.38,2.4,4.28,0.83,13.12
60205f5ba5fe0165fa0e5e01,49.97,0.2,My cousin pushed me into a pool at my sister's wedding reception where everyone was dressed to impress. Then when i resurfaced she laughed at me and said that if i were pushed a little to the right or to the left i would have landed on the cake.,14.26,11.44,7.14,-4.13,-0.2,1.05,-0.23,-3.13,1.37,-0.82,1.26,0.07,2.3,2.56,-0.05,-3.51,-1.01,21.6
58a89e40e6afe00001d36058,52.74,0.25,At a wedding my friend gave me a small shove to protect me from a bee. Unfortunately I then fell into the swimming pool fully clothed in my smart dress. My cousin said I just missed flattening the wedding cake.,14.8,10.47,0.05,-1.06,10.45,-0.13,0.43,-4.92,-0.2,1.03,1.64,0.36,-0.64,-0.17,2.16,0.17,0.15,18.15
6083ba6abe81fe3fc3c6095f,54.38,0.35,Invited to cousin's wedding. Friend pushed her in a lake. As did not think things through. Dress ruined. Few inches more. And would have landed on the cake.,10.15,10.37,-0.97,0.12,1.27,-0.63,-0.53,-3.72,2.9,6.29,-0.13,0.81,-2.36,-0.8,2.45,3.02,0.09,26.05
5e72ad1027f38a1fced5bf6f,55.18,0.29,This story was about a fancy wedding at which the storyteller was pushed into a pool by their friend because of a bee. Their dress was ruined and their aunt made a funny remark at the end.,16.69,11.01,2.15,0.36,8.73,4.76,-0.78,1.1,2.38,0.31,0.79,0.28,-2.24,0.62,2.28,5.02,0.48,1.24
5dd5fe643558225b7c9f2857,61.29,0.24,"My best friend pushed me into a swimming pool at a wedding. This was because a bee was flying near me as my aunt gave me a drink. She pushed me and I fell in, I came up gasping for air. I dried off and my friend just said I barely missed the wedding cake.",22.62,11.73,-4.96,1.78,10.85,-2.65,-1.98,9.54,1.57,0.62,1.75,1.73,4.51,0.86,-0.83,-2.61,-1.88,8.64
6171b613293370249f437607,61.5,0.3,"Her best friend pushed her into the swimming pool because of a bee, while they were at her cousins wedding at a hotel. She got out and dried off, but her dress was ruined. She missed the cake by a few inches.",19.11,13.68,-4.2,1.58,9.96,5.53,-0.89,-8.21,1.72,-0.58,0.51,1.01,-1.55,-0.5,2.02,3.77,5.75,12.79
5d11dd0790265e00019ba937,61.74,0.3,My best friend pushed me into the pool at a wedding. There was a bee near my face. Everyone was dressed to impress. My mother had a glass of champagne. I nearly landed on the cake. Missed it by a few inches.,22.59,8.32,6.12,-4.96,12.27,0.77,-0.84,1.15,0.41,-0.4,0.39,0.3,-0.61,-1.98,1.24,-2.43,-0.25,19.65
5f4f92a3ef108806270215c9,62.36,0.33,"They are at a wedding reception and the protagonist is shoved into the pool because there's a bee. She gets out of the pool, dries off and the cousin is glad she didn't fall on to the cake.",12.52,11.38,-0.59,3.45,10.03,1.27,-1.57,-1.79,1.25,0.32,1.71,0.74,-0.09,-0.48,2.67,-1.04,5.84,16.74
571a3f73c97ad400083a2ea0,65.35,0.22,A woman’s best friend pushed her into the pool while she was holding a glass of champagne because she said a bee was hovering around her face. When she got out with her fancy dress all ruined her friend laughed hysterically and said a few more inches and she would have ruined the wedding cake.,17.68,6.37,0.58,-1.16,15.72,2.06,-0.81,4.33,2.27,-2.0,1.09,-0.5,-0.92,1.0,-0.57,1.87,-2.81,21.15
5cc3289b9e21e200015f0bb3,66.98,0.4,her friend pushed her into the swimming pool at her cousins wedding because of a bee. when she got out the cousin said a few inches more and it would have been the cake.,14.82,12.87,-3.93,4.92,11.31,-1.68,-1.55,-4.64,1.41,-0.53,0.83,0.23,1.82,-2.29,2.25,-0.43,-0.18,31.75
5e4c4949d7a02705c4f70ebb,67.25,0.29,Friend pushed me into water I was at my aunties wedding and she saw a bee and gave me a little shove to save me from being stung and when I came up gasping for air she laughed and apologized profusely my beautiful dress was ruined,15.19,8.38,0.12,0.48,14.41,0.91,1.6,-0.98,1.76,-0.27,3.57,1.07,5.81,2.59,6.08,7.45,-0.99,0.07
5e93641d8028056ac36b16d9,67.74,0.35,"During my cousin's wedding reception, my best friend pushed me into the pool to save me from a bee. I resurfaced, my dress ruined, and my cousin jokingly mentioned I almost landed on the cake.",20.42,17.3,-4.62,0.39,8.94,-1.48,-0.16,-4.34,0.9,-1.14,0.91,0.91,1.22,-1.58,2.09,4.06,-0.3,24.22
5c3f2e175fe5c60001ffc302,68.02,0.25,My best friend pushed me into the water when we were at my cousins wedding. She saw a bee and pushed me to save me being stung. My aunt had just handed me a glass of champagne. I narrowly missed the wedding cake! My dress was ruined. My friend laughed but also apologised.,19.5,12.71,-2.15,-2.54,13.8,-2.7,2.72,13.4,-0.24,-0.87,-0.01,0.99,-3.58,0.96,2.29,5.09,-2.14,10.79
5f218e5462e3b6568de0f0e5,70.13,0.25,"It was her cousin's wedding and her friend had pushed her into the water. It was a fancy wedding where everyone dressed to impress. She had a glass of champagne. Her dress was ruined. When she went to gasp for air, someone says that she was very close to the landing on the cake.",15.58,12.4,5.95,-2.72,-0.01,2.91,0.04,6.01,2.24,0.55,0.75,0.8,3.73,-1.77,-0.51,2.49,-0.22,21.91
5a775b638fe2dc00010579b2,70.72,0.26,At a wedding reception and friend pushed me into a pond because a bee was near my face. Was only a little push. I had just been handed a glass of champagne by my aunt. My friend was laughing at me as I got out to dry and said a little further and you'd have landed in the cake.,12.71,10.26,-1.77,1.52,12.1,0.3,-0.95,13.87,0.6,1.58,1.24,0.6,-1.13,1.94,-2.18,-3.01,2.34,20.7
64730850e5f4a7b6b71fc40a,74.33,0.18,"Wedding at a posh hotel, the girl in question was just handed a glass of champagne by her aunt and then her cousin saw a bee near her and decided to help her by moving her out of the way of the bee and in doing so she fell into the pool. Came up gasping for breathing her lovely dressed soaked and her cousin was laughing. If she had falling a few inches to the side she would have landed in the wedding cake.",3.83,8.68,1.77,-0.38,11.52,7.19,0.1,12.89,1.61,1.15,0.07,0.62,3.05,-0.02,-0.35,3.94,-2.26,20.92
602c64564ad77a557c5cc279,79.99,0.21,"I got pushed into a pool by my cousin, the reason it happened was there was a bee in a motel garden and my cousin pushed me to prevent me getting stung. I landed in the pool and the first thing to do was to dry off my beautiful dress. My cousin laughed and apologised profusely when I got out of the water. 'A few inches further and you've have landed in the cake' she said.",14.58,7.02,-2.85,4.88,10.76,8.34,0.58,-4.44,2.21,-5.57,0.48,0.35,-1.53,0.92,3.61,1.47,15.03,24.15
5f37748da58054204f5b433a,80.02,0.24,"Was sitting by the edge of the pool at a wedding. Had a glass of champagne from your aunt. A bee was flying in front of your face, and your friend pushed you in the pool, claiming she was trying to save you from the bee. Your dress was ruined. And your friend laughed and said a few more inches and you would have landed on the cake.",14.28,9.97,0.44,-0.75,11.21,1.27,0.0,11.53,2.28,2.8,1.52,0.8,-1.39,2.17,-1.27,3.17,-2.01,24.0
5f54b7bc649418811db24711,80.3,0.3,"they fell into a pool during a wedding reception. their friend saw a bee and tried to stop her from being stung. They fell into the water and when they got out gasping for air, they apologised, and the cousin said a few inches more and they'd have landed on the cake.",8.01,12.79,-1.16,2.75,13.59,2.23,2.79,-4.65,3.04,0.7,-0.02,0.37,3.53,-1.54,4.47,-2.6,1.01,34.99
5a9bec4c6475f900019ffb56,82.52,0.24,"My best friend pushed me into the pool at my brother's wedding. This was after my aunt had given me a glass of champagne. My friend, who had not thought it through, was trying to save me from a bee. My dress was ruined and as I got out and dried myself off, she laughed and apologised. If I had landed a foot more I would have not the cake.",23.0,8.2,-4.5,-0.82,10.88,0.36,1.06,13.03,3.17,2.94,0.79,0.94,-2.69,1.08,4.68,2.52,4.98,12.9
589f019c69733b0001af54df,84.02,0.24,"My best friend pushed me in to the pool. This happened during a friends wedding reception. I had just been given a glass of champagne. A bee came along. She tried to prevent me from getting stung. She just gave me a little push. I fell into the pool. I ruined my new dress. My aunt said, ""just a few more inches and I would have fallen on the cake.""",24.8,10.56,-1.28,-2.92,10.9,1.02,2.0,7.3,2.86,0.77,3.62,0.8,-2.15,-0.4,2.48,2.79,-3.32,24.19
575ef812a2ce6e000666f239,84.86,0.35,"Person pushed into the pool by a friend during her aunt's wedding reception, friend saying something about a bee. Person climbs out of the pool in her wet dress to dry off. Relative makes a joke about another few inches and landing on the cake.",15.51,10.28,-0.23,1.1,9.35,1.37,-2.39,2.04,2.0,2.77,2.03,0.54,-1.62,0.87,1.74,0.02,9.61,29.87
5a3ee0d22f91ec0001dca78d,85.01,0.26,My best friend pushed me into the swimming pool at my cousins wedding. She was trying to avoid me being stung when a bee landed near my face. My Aunt said that's what best friends do. When I resurfaced my friend burst into laughter. My cousin said if I had a fallen a little further a few inches it would be been on the cake.,22.98,12.04,-3.8,0.96,16.33,-0.72,2.72,-1.18,1.73,1.29,0.97,0.88,2.76,1.98,0.01,-4.25,-1.98,32.29
5f60a56c328d6f05ede09874,89.92,0.36,"[pushed into pool] [by best friend] [at a wedding reception.] [saw a bee near her face] [and tried to save her from being stung.] [fell a few inches from the cake.] [dressed to impress,] [yet the dress was ruined.] [wedding was at a fancy hotel garden.]",19.59,11.52,2.78,-3.83,15.02,18.11,8.12,-6.67,2.62,-0.08,1.39,0.22,-2.75,-0.32,1.94,4.96,-0.88,18.18
5ca345b1506fca0016b358bb,92.68,0.22,"My best friend pushed me into the pool at my cousin's wedding which was at a posh hotel. She said it was because there was a bee near my eye and she didn't want me to get stung. I was wearing a lovely dress, everyone was dressed to impress. My aunt had just handed me a glass of champagne. When I surfaced, spluttering, I wanted to get out of the pool and dry off. My friend just laughed and said I could have landed in the cake.",22.81,16.2,3.41,-4.74,10.0,6.65,1.11,14.22,0.88,-0.34,0.42,0.49,4.15,2.13,-3.85,0.31,7.5,11.33
62fca9ec379f4b6707aaef85,95.05,0.24,A woman’s best friend pushed her into a pool which was during her cousins wedding reception because she seen a bee near her face and tried to save her from being stung. She was given a glass of champagne. The cousin found it funny and laughed whilst also apologising profusely. Everyone was dressed up as it was a fancy hotel garden and her dress was ruined from being wet and she got out and dried off.,16.08,14.75,2.65,0.92,16.9,17.9,5.35,4.02,0.04,-0.39,0.56,0.18,-2.5,-0.0,4.89,2.51,9.66,1.53
5f65597823696e0e9bd8f63a,95.98,0.28,"My best friend pushed me into the water at my cousin's wedding reception. She did this because there was a bee near my face and she was afraid I'd get stung. My aunt handed me a glass of champagne. My dress was ruined. My friend laughed. As I was getting out and dried off, my cousin said another couple of inches and I'd fall into the cake.",20.82,14.77,-3.1,0.11,16.4,0.43,1.47,8.62,0.48,0.7,0.43,0.94,-2.24,1.34,-0.06,3.18,3.95,27.74
5d416bd5af929100194e80e1,96.3,0.24,"A woman was at her cousin's wedding in a fancy hotel. Everyone was dressed to impress. Her Aunt handed her a glass of champagne. As she did a bee started to buzz around her head. Her best friend pushed her into the pool. (Her best friend was) trying to get the bee away. Her dress was ruined. Her Aunt laughed. Her Cousin said if she'd been a few inches more to the side, she'd have landed in the cake.",16.91,13.4,4.67,-0.23,7.61,8.67,0.84,13.83,0.65,2.62,-0.97,0.17,-3.08,-0.95,1.59,3.63,-2.2,29.14
60a520c051c98eb480c2811f,100.54,0.21,"My best friend pushed me in the pool, we were at my cousin's wedding at a hotel. Everyone was dressed to impress. My best friend had seen a bee hovering close to my face and decided to save me from it, my aunt had just handed me a glass of champagne at that moment. My friend gave me a little nudge and I fell into the pool. When I submerged my friend was laughing at me, my beautiful dress was ruined. She continued to say ""just a few more inches you would have landed on the cake"".",24.17,15.07,4.94,-1.76,16.43,-3.08,0.55,15.95,0.92,1.4,4.38,1.45,-2.8,2.11,-4.12,5.98,-5.2,24.15
5e3589f0f4429c52b06eb457,101.57,0.24,"At a cousins wedding reception, a female friend pushed me into the pool triggered by seeing a bee near my face in the fancy hotel garden. I had just been passed a glass of champagne by my aunty as well. Everyone was dressed to impress and when I resurfaced gasping for air, my friend laughed and apologised profusely while my cousin whose wedding it was, commented on how close I came to knocking over the wedding cake.",14.53,14.77,4.7,-0.83,16.32,17.64,-1.75,13.55,-0.61,0.08,0.08,0.77,5.95,2.35,7.05,-5.12,-2.83,14.92
5d10fa2bbfbf0a000133594b,101.6,0.24,"My cousin pushed me into the pool at my cousins wedding. She pushed me in as there was a bee. My auntie told me to be aware of friends, as they don’t always think things through. Then she gave me a little shove. I landed in the pool, then the next thing to do was get out and dry off, but my beautiful dress was ruined. My cousin started laughing, and said, a couple more inches, and you would have landed in the cake.",16.76,9.62,-0.76,0.75,10.71,0.12,-0.31,0.88,6.6,10.83,4.16,0.77,-1.08,1.13,-1.23,3.19,15.87,23.59
631b32b0796f2941b55e7d58,101.69,0.31,My best friend pushed me into the pool at my cousins wedding because a bee was hovering around my face. My aunt handed me a glass of champagne and told me to be careful. My friend started laughing and the first thing I did was get out and dry off. My cousin said that a few inches closer and I would have fell into the cake.,22.68,13.41,-4.31,3.12,10.86,-1.41,-0.92,12.11,8.07,-0.12,0.27,0.6,-1.94,2.18,-0.17,-3.48,14.12,26.62
5c129cc7ba99dc0001f0b628,104.23,0.34,at cousin's wedding posh hotel. Got handed a glass of champagne by aunt. Best friend sees a bee close to her face. gives her a gentle tap. pushed her into the pool. Soaked. lovely dress ruined. friend laughing. had to get out of the wet dress. cousin said. a few inches more and you'd have landed on the cake.,16.98,11.83,1.88,-1.83,16.69,6.99,-2.27,12.27,2.29,5.07,-0.18,0.84,-3.12,0.59,-0.77,4.09,1.37,31.51
615f4e20d504f648ffd22972,105.18,0.26,"My cousin pushed me into a pool. This was at a wedding. It was because of a bee. She'd seen it hovering near me and wanted to save me. My aunty had just passed me a glass of champagne. I said 'be careful,' but y'know, people aren't always. Then she pushed me into the water. My beautiful dress was ruined. She just laughed and said 'a couple of inches to the left and you'd have landed in the cake,'.",16.5,8.71,-0.91,2.75,11.67,3.34,1.44,13.0,17.03,11.47,4.48,2.09,-3.15,2.32,-3.56,2.44,-4.04,19.6
5e08848505620518fcdde6f2,106.29,0.31,She was at her cousins wedding when she was pushed into the pool by her best friend as she’d seen a bee near her face. It was a fancy hotel. When she resurfaced gasping for air her best friend was laughing and apologised profusely. Her dress was ruined but she dried herself off. He cousin said any closer and she’d of landed on the cake.,17.73,11.89,1.38,-0.69,16.38,8.79,-0.49,-4.58,0.65,0.54,0.73,1.02,5.37,0.61,6.27,4.3,6.18,30.21
5af29f9c0eca060001b153bd,106.45,0.21,"A girl's best friend pushed her into the pool at her cousin's wedding reception where everyone was dressed to impress. The reason she pushed her into the pool was because she saw a bee flying near her head and didn't want her to get stung. And so she shoved her into the pool. The girl's Aunt has also just handed her a glass of champagne. When the girl came to the surface, her friend just started laughing. Her dress was ruined. She said a few inches further and she would have landed in the cake!",17.64,15.31,7.39,1.93,12.63,0.34,1.13,15.69,0.93,1.28,2.31,-0.03,0.32,4.82,-0.22,5.45,-4.74,24.27
60ad65a0a187d7ef811ed7e6,108.1,0.18,"A lady and her best friend attended her cousin's wedding at a beautiful hotel garden. The friend pushed the lady in the near by pool. (This was done) to prevent her from being stung by a bee. (This happened) just moments after the lady's aunt has handed her a glass of champagne. As she resurfaced and gasped for air, the friend started laughing. (The friend started) apologizing for her actions. (The friend was) explaining why she pushed her in the pool. Though the lady was worried about her dress being ruined, the cousin then told her she was inches away from landing on the wedding cake.",16.26,14.8,-1.31,-0.1,11.27,9.07,2.07,16.32,1.06,1.1,-0.79,0.74,5.49,4.41,4.47,-0.27,-2.29,25.8
6147724c13bb365774e24af1,108.62,0.31,"My best friend pushed me into a pool. How it happened was, we were at my cousin's wedding, and my friend saw a bee hovering near me. My aunt had just handed me a glass of champagne and you know how friends are, she just started laughing. My dress was ruined and my cousin said ""a few more inches"" she said ""and you would have landed in the cake"".",24.44,13.97,-2.74,1.11,13.28,-0.82,-3.02,15.66,2.13,9.16,1.88,-0.64,-0.63,0.37,1.19,4.05,-2.04,31.27
5dc1978fdbf8200fe9537083,112.31,0.24,My cousin pushed me into the pool. This was at my cousin's wedding and everyone was dressed to impress. There was a bee hovering close to my face and she just tried to warn me about. My aunt told her to be careful. That's when she gave a little shove and I tumbled into the pool. When I resurfaced she stared at me and then laughed. She apologized profusely and my beautiful dress was ruined. She said that with a few more inches I would have landed on the cake.,17.87,11.64,6.13,-1.46,14.52,-0.23,1.28,1.73,9.71,1.02,8.35,2.68,1.01,1.84,7.12,7.54,-3.96,25.52
596e5141fe061d00011e3984,120.62,0.33,"My best friend pushed into the pool. I was at my cousins wedding reception, everyone was dressed to impress. The reason was she saw a bee hovering above my head. My aunt had passed me a glass of champagne. Best friends dont always think things through and she gave me a little shove. My cousin said ""just a few inches further and you would have landed on the cake.""",25.81,15.96,8.14,0.99,11.54,-3.38,-1.06,16.05,1.56,16.9,5.56,-0.63,-3.55,-2.91,2.02,-4.11,-2.45,34.18
6099089783231a811aee3ad3,140.1,0.28,"My best friend pushed me into the pool. This happened at my cousin's wedding, where everyone was dressed to impress. She did this because she spotted a bee, hovering near my face - and she tried to save me from being stung. While being handed a glass of champagne carefully. She warned me and gave me a little shove and I fell into the water. I gasped for air and she started laughing. My beautiful dress was ruined. My cousin said that if it was a few more inches, I would have landed on the cake.",23.76,16.13,7.38,0.96,20.54,-3.0,8.27,5.58,8.23,0.35,6.59,2.43,4.72,4.88,-0.69,7.52,-5.09,31.54
5f901c39da08ae0598da82d5,144.0,0.3,My best friend pushed me into the pool. It was at my cousin's wedding reception and everyone was dressed to impress. She did it to save me from a bee. My aunt had just given me a glass of champagne and I told her to be careful. Sometimes friends don't think and she gave me a little shove and I fell into the pool. My friend just laughed. The first thing to do was get out and get dry. My cousin laughed and said if I had fallen a little further I would have landed on the cake.,25.0,16.62,7.42,-0.26,9.16,-3.19,1.61,15.62,18.36,14.05,6.74,2.3,-4.65,2.19,-2.56,-6.31,17.07,24.83
606c1958e66bcbfde2156006,152.16,0.29,"My best friend pushed me into a pool. Dressed to impress at her cousins wedding. Best friend pushed her into the pool as there was a bee hovering above her head. It was a fancy hotel. Her aunt had just handed her a glass of champagne. She said to be careful. Her friend gave her a small nudge. She stumbled into the pool. Naturally her friend just laughed. But apologised profusely. Beautiful dress was ruined. Natural instinct was to get out and dry off. But her cousin said, a few more steps. And you would have fallen in the cake.",24.78,10.87,3.6,-0.3,10.53,10.56,-0.5,17.55,12.43,3.61,2.73,2.78,-6.36,3.2,5.14,6.81,19.5,25.23
62ea45c78e38d6b93c10a235,156.85,0.28,My best friend pushed me into a pool. It was at my cousin's wedding where everyone was dressed to impress. It was in the garden of a fancy hotel. My aunt had just passed me a glass of champagne. My friend did it because she spotted a bee. She didn't want me to get stung. I told her to be careful. But she didn't think things through. She gave me a little shove. I fell into the pool. I ruined my dress. She just started laughing. She apologised. I got out. I had to dry myself off. My cousin said that if I'd have fallen a few more inches. I'd have landed in the cake.,24.87,14.36,4.53,-4.86,12.57,15.02,2.05,16.89,15.92,5.22,5.59,0.7,-6.21,4.66,5.06,2.67,8.66,29.15
